dataset,task,setting,analysis_scope,conversation_id_hash,assistant_turn_id_hash,assistant_turn_index,source_family,model_or_source_family,learning_intent,is_intentional,task_domain,language_flag,is_english,assistant_support_type,assistant_is_scaffolded,assistant_support_intent,assistant_has_M1_feedback,assistant_has_M2_hinting,assistant_has_M3_instructing,assistant_has_M4_explaining,assistant_has_M5_modelling,assistant_has_M6_questioning,previous_user_emotional,previous_user_cognitive_level,previous_user_is_constructive,previous_user_is_error,next_user_emotional,next_user_cognitive_level,next_user_is_constructive,next_user_is_error
ShareChat,coding,ShareChat coding,main_six_setting,526d97d763c3a1d35261e75ae0172a33ee9eed7c7debfdf17a12e59847f0a038,7366da0e5b600ae2707384fb6afa82536217dec71787d2b07402cb255f79ce6c,1,sharechat,perplexity,INTENTIONAL,1,coding-oriented,1,1,S2,1,['I2'],0,0,0,1,0,0,0,A,0,0,0,A,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,2e237270bf1286f5c630356ef05e2f93c110971012be48c686bfe3d3bda1f2b9,1,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,S2,1,['I1'],0,0,0,0,0,1,0,,0,0,0,,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,17cb73a7f8829d7788e34fd5e97d8082cae5852c92a663a6959281e21842dd86,3,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,8a88fbd4dbd2cf23128165eb72b50330dabfb0cf120adaa1bc3d89b11dbc0ba4,5,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,S2,1,['I1'],0,0,0,0,0,1,0,,0,0,0,,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,681f6a64d65442421364e9de5ae129a40fd987c154454359d088f2497212aa41,7,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,d0de0b8e4e66b986b1c418ab0d121d2bac5f7635b2d18ed461887b2420cba7d9,9,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,S1,0,,0,0,0,0,0,0,0,,0,0,0,,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,1bcb90d50a0d04b2603d786f34403178febd23a6d9b4143a957db2cb199adf36,1,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,S2,1,['I2'],0,0,0,1,0,0,0,C,1,0,0,A,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,4a6fb34288075eb3f51f538f10fe4af58db14d4dfe2d97d22ddff5ad61679bab,3,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,S2,1,['I2'],0,0,0,1,0,0,0,A,0,0,0,A,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,6065c7653a954cd3dd1e6da771f856464c9a5c9e31bd0342673ae8e579d0023e,5,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,S2,1,['I2'],0,0,0,1,0,0,0,A,0,0,0,A,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,659bea1ca93542b83e8609ab4f3b8c45abaa3325ed49db6bf87c039707fb5b51,7,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,S2,1,['I2'],0,0,0,1,0,0,0,A,0,0,0,A,0,0
