dataset,task,setting,analysis_scope,conversation_id_hash,user_turn_id_hash,user_turn_index,source_family,model_or_source_family,learning_intent,is_intentional,task_domain,language_flag,is_english,user_emotional,user_cognitive_level,user_is_constructive,next_assistant_support_type,next_assistant_is_scaffolded,next_assistant_support_intent,next_assistant_is_affective_support,next_assistant_has_M1_feedback,next_assistant_has_M2_hinting,next_assistant_has_M3_instructing,next_assistant_has_M4_explaining,next_assistant_has_M5_modelling,next_assistant_has_M6_questioning
ShareChat,coding,ShareChat coding,main_six_setting,526d97d763c3a1d35261e75ae0172a33ee9eed7c7debfdf17a12e59847f0a038,3f5f6ca547914433d8809a9578b074d5898f36a29965096af68cd9a73a2e4464,0,sharechat,perplexity,INTENTIONAL,1,coding-oriented,1,1,0,A,0,S2,1,['I2'],0,0,0,0,1,0,0
ShareChat,coding,ShareChat coding,main_six_setting,526d97d763c3a1d35261e75ae0172a33ee9eed7c7debfdf17a12e59847f0a038,389b80833f76aa7b43f5f9d4b41efe4dae3e60276ecdc0eb969310531ee15967,2,sharechat,perplexity,INTENTIONAL,1,coding-oriented,1,1,0,A,0,S2,1,['I2'],0,0,0,0,1,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,0bd7a71d7b5625c16e5bcbf06ba172ca84610bc8b9f0ac2f679b1ae2bd3ddba2,0,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S2,1,['I1'],0,0,0,0,0,0,1
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,5b9f7e5de23e6dbe6028d726246a6ad7381b660ab2eb82c2669998238c7e7167,2,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S1,0,,0,0,0,0,0,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,7801d8e937c2c28ee62ee993767975a36f6627630844d21b432683bf9585fc68,4,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S2,1,['I1'],0,0,0,0,0,0,1
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,c0ffec0fd12037d7b99fd5edfc745495caf196b5afe17b0cd8130e96d502054a,6,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S1,0,,0,0,0,0,0,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,5c5d6fbbb683991b903558af0264fb44afa5e09d5d4429d83146fb1fe489706a,8,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S1,0,,0,0,0,0,0,0,0
ShareChat,coding,ShareChat coding,main_six_setting,46cf71c13d4a4f35c50a4b209f30f0dd752c62b41a81467f34bb69692cc3d448,e9e346cd2bc93950642f32f1fc19a41ed2b8eec5b5a91fea4fa741b6e2c00f75,10,sharechat,chatgpt,UNINTENTIONAL,0,coding-oriented,1,1,0,,0,S1,0,,0,0,0,0,0,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,165ad6ea8a2fcaa390c1fcbab802d913befa42b4daa92fc029ea64817c1bfeb8,0,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,0,C,1,S2,1,['I2'],0,0,0,0,1,0,0
ShareChat,coding,ShareChat coding,main_six_setting,6caab6b4f735b46cf011f4a2004dabb47b41813d6f85e3717fc4693d28b5df94,e7dbea3ed5ad6f2b9cfad34e5ab0a3b3a8fb96f56fbc2ea0246ea0f396b7d256,2,sharechat,chatgpt,INTENTIONAL,1,coding-oriented,1,1,0,A,0,S2,1,['I2'],0,0,0,0,1,0,0
