dataset,task,setting,analysis_scope,conversation_id_hash,source_family,model_or_source_family,learning_intent,is_intentional,task_domain,language_flag,is_english,total_turns,user_turns,assistant_turns,depth_after_first_answer,has_scaffolded_support,scaffolded_turn_count,scaffolded_turn_ratio,has_support_intent_I1,has_support_intent_I2,has_support_intent_I3,has_M1_feedback,has_M2_hinting,has_M3_instructing,has_M4_explaining,has_M5_modelling,has_M6_questioning,emotional_user_turn_ratio,cognitive_overall_user_turn_ratio,passive_user_turn_ratio,active_user_turn_ratio,constructive_user_turn_ratio,constructive_user_turn_count,has_constructive_user_turn,constructive_before_first_scaffold_ratio,constructive_after_first_scaffold_ratio,delta_constructive_after_first_scaffold,has_error_marker,persistence_after_failure,constructive_after_error_ratio,high_persistence
ShareChat,writing,ShareChat writing,main_six_setting,c540f69f63e14036a68907cdae743288118795cf0b54e32b17c19b3da33bdba9,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,2,1.0,0,1,0,1,0,0,1,1,0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,08e25fd16e291dc47e0798eb69a0a8520a67ebcd3616439d9ec46ee7c841c375,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,881507aafff7b5305873b4ae3fc1dd17cd512f9e33cde68762a63c8ff0ae4e4e,sharechat,gemini,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,8eda51eb0f113d959513babd3841c44aa087141f279841dccbffb2b5415bb64b,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,20e3f6f536179559c71f2d827ebc4454d01619dbd87970112b94059e80b1c677,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,30,15,15,28,1,1,0.06666666666666667,1,0,0,1,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,2fd57b0a3cd6db3a4de9b14f93bcc146b83c8eb231b09ac5a380e276bb64eda1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,10,5,5,8,1,1,0.2,0,1,0,0,0,1,0,1,0,0.0,0.8,0.0,0.8,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,4d723e830cb262e1eea9b539c0d130bbac9015cdd4f041c98ef9ab848a7bf37b,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.0,0,0,,,,1,3,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,680e49b2c699ab37beecaa34a55a747a9ba77ab00239fe3492d8bbf204e041fe,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,8,4,4,6,1,1,0.25,0,1,0,0,0,1,0,0,0,0.0,0.75,0.0,0.25,0.5,2,1,0.5,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,1d4f9cd3131a08d0ee1aed37a5c9b770bd1fde0d840b2f5a105ed26fdb2c5f3a,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.5,0.5,1,1,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,4e43bfa678f9e34c09746e24e09730c2c63f173eb410fa88c327715987853fe3,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,1,1,0.5,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,66578d377712b45ccb11e8590007ddba1ecfe871f85af39fb47671dd2b74b315,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,c2d7621843b559e4732bdd4e938345a887495d3dd9a02a1b1321eff061b51350,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,1,1,0.25,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,d1f19827f27611b71f881771cad85abdd107bd74c163a91269020a9035180086,sharechat,gemini,INTENTIONAL,1,writing-oriented,1,1,10,5,5,8,1,3,0.6,0,1,0,1,0,1,1,0,0,0.0,0.6,0.0,0.2,0.4,2,1,0.3333333333333333,0.5,0.16666666666666669,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,2626c65be1be9e2e890aca7fbdeb45b91e70b65f1ee2605fe16df1d1071740bf,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,14,7,7,12,1,1,0.14285714285714285,0,1,0,0,1,0,1,0,0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,59fe8af3f46849546496e15b158780abb083e15dc6535db91aed8938773c5b9f,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,e0e5b9489d8b50836563a05a8a7beaf33fb0f35de7e6169d735e02719d8b5560,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,41cdc2bd84eb121006948e97d0250dca820a26c575bcf581e087e1af4c30f68b,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,1,1,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,b7b5711c6b1c56168233095862751e2035c095b64e02796926635688f927a94c,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,12,6,6,10,1,1,0.16666666666666666,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,8fd55ca2c8f5f3b4dd41633779ddcb656bf4abc25343121c6c0294581bb2f9b7,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,10,5,5,8,1,1,0.2,0,1,0,0,0,0,1,0,0,0.0,0.4,0.0,0.4,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,f740a517a6a3542c32fd1c983bfdb99ae2d0943baaf37a5916e1793a81525161,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,22,11,11,20,1,5,0.45454545454545453,0,1,0,0,0,1,1,0,0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,2cc323be576ee560fe6979deb9a196ded079d11f49b48bb2f3f0df6c4912292f,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,bde437e406fa5a80a17dd9057f758d4369664de9fd6a877e959820aee3be9cb7,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.0,0,0,,,,1,3,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,0c8936487a77f5e1e26b145d8c64098e8f876ca352c9166069a871ec344de1f0,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,50,25,25,48,1,10,0.4,0,1,0,1,0,1,1,0,1,0.0,0.2,0.0,0.2,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,49c7b71efc9ee3bd993b26a238c4e8801c307075855d1d49c79f24eb1603b55f,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,10,5,5,8,1,1,0.2,0,1,0,1,0,0,0,0,0,0.0,0.2,0.0,0.2,0.0,0,0,0.0,0.0,0.0,1,4,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,77db571b6853acd9a82a2b210b1109f04f3eb8f7299486ff001ed7a34edfb236,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,0ce53f839e8ea1648a02ad7871881d9c59ef3c25a1bc090b062963ee88569086,sharechat,perplexity,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,2,1.0,0,1,0,0,1,1,1,1,0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,9139ec8403a968d7992dff0a49982eb1060b38df6bbb72aeede90ffb91d72a73,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,19ec6873fd9826a2053b07b0ad2a1b751810aa50f2710e1204e6f4d87fe403e5,sharechat,gemini,INTENTIONAL,1,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,d5fae6c4fd8bdf26ae2dc09848a36986f9698e9ff4d100f8347e71b070cbb5ff,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,8,4,4,6,1,2,0.5,0,1,0,0,0,1,1,0,1,0.0,0.25,0.0,0.25,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,b90d7ce0808efb2d2ed837f9f191d5dd5902c460b3dd58ffb3041896a2534563,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,2,1,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,2402d40eaaa9cad0ad798369f656845d9f9375cabc9b5880ebea10b04e175a83,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,b1357c6b9e866cfb7598c37a25c0a1bdb1b7bc3e2acfaccfe1f550ccc0e937f4,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,b5b8a5ab6921c8aaa34900cf93b4b1554eec872d13192defe894e59fd9d6c62d,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,14,7,7,12,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2857142857142857,0.0,0.2857142857142857,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,00e5bdcaa4f4d3b319d5640bd2d4d2e8208a583ebeb099044e42378cfb6701d6,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,12,6,6,10,1,2,0.3333333333333333,0,1,0,0,0,1,0,0,0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,9e6822158339c846b23d11e09e288b7d25c15ab8b777dee832ac3b7a13713f10,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,444eb0c4e906ddc8028a1dac5ddd12b5a2c9432aebda0d2800af0ced90ce5760,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,1,1,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,9617ae9979896288b00cd23758d19276867d71c8c5490e4760891fc54343636b,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,ead9ed2925ba444f60d703c1e563c912c9dde1b9255b832d84ea94486b758305,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,10,5,5,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.2,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,a786dd7bb32e4d5bbb089fc23fcba40e2c038f5426912b7d3fdda9248bb99b38,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,36,18,18,34,1,6,0.3333333333333333,0,1,0,0,0,0,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,77489de49d469c4b0294c6cdec7ac40d8307521fe631619cecdddc56b29792e9,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,1ea531fa7d6db088b908ae31ab6ad6d19c0bd4f13ef2e28a392b177a3c597de3,sharechat,perplexity,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,28ab939c0769e7936adb22ea7a3acc8994d68232c9fd8d8b6cd08405e4523905,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,8,4,4,6,1,2,0.5,0,1,0,1,0,0,1,1,0,0.0,0.75,0.0,0.5,0.25,1,1,0.5,0.0,-0.5,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,6528b3f1dfdc663e5d98f8a5cd0391573cdb44eabe8b810b9c2831df115ab1f7,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,1,1,0.3333333333333333,1,0,0,0,1,1,0,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0,0,0.0,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,b1ebf72db174172e1a3d067efaa37fe5a88acdb30032b15cb0ba506c8a71fb77,sharechat,grok,INTENTIONAL,1,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,ded4ff72a57fc6fc54048270104606a143e1e990256bb5700e55e3740b95a199,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,10,5,5,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.4,0.0,0,0,,,,1,3,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,39490cf25fad4a92b3a7ec4681617a69ab429eddc3e2bd54b05b456b00bd8e96,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,1,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,08b57a720e17c5746fb9cd0fd8d0844d4a8e3799ea83fd5b2a640200ae5600cf,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,1,3,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,d251d697606818bf62d419e0c259a8abb9835c8ee5b51df029a6007302f84e5b,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,a7ce9cb0d675d0d3e3c01ffa19e0da30602fbe488f54a44cb064614db7dced49,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,42da570f58c30490ba5c3c35c57dbe643e1ff28e967a44b0a318a8c957b575d3,sharechat,grok,INTENTIONAL,1,writing-oriented,1,1,58,29,29,56,1,11,0.3793103448275862,1,1,0,1,1,1,1,1,1,0.0,0.5517241379310345,0.0,0.41379310344827586,0.13793103448275862,4,1,0.0,0.14285714285714285,0.14285714285714285,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,0c78ee117d4a56becc43a406389eab839be72f55334e01a8705e6371c6a63c60,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,1,1,0.3333333333333333,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,0d5aae830bc0ad207bd8c797e6c9888e4ffa3cc6e1bac9e368e4665563916cdf,sharechat,gemini,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,8d4ac8edf0a049d96438aad0d2093946153bfac788a0ed156c7b788f35d7ea20,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,1,1,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,221a6899cd28ef012257c8c25a235bca98f647fd55398b2ce91243db513e67cf,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,1,1,0.5,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,0eb95c7cba521b4f9700ac815c5e27ffec79c0d12659ed26c177c0a76d760f30,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,10,5,5,8,1,1,0.2,0,1,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,1,3,0.0,1
ShareChat,writing,ShareChat writing,main_six_setting,f8c76ddf5a9a5746c66affc2269dc7a4635a855b9913a7057aacad31e4677ed2,sharechat,perplexity,INTENTIONAL,1,writing-oriented,1,1,8,4,4,6,1,1,0.25,0,1,0,1,0,0,1,0,0,0.0,0.75,0.0,0.75,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,9b6860ed0fbfd5bc7999dad4affbf124a182a4dd45add6a668734a609150c1e8,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0,0,0.0,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,c7c5ec48a7c14140531b2ceec8acde500aced7c5573e2547efbcb0f1c426b59e,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,1,1,0.3333333333333333,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,f729ddb2ce74cc2050daad9257c2b3d7fc938955975e76ffe8750f62306f2559,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,12,6,6,10,1,5,0.8333333333333334,1,1,0,0,1,1,0,0,1,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,01f34399402378798aab8d1230b7196d27897f0027887b69c333fa08294463bc,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,2,1.0,1,1,0,0,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,c453b5b07e69caf54c8968965470a71f66422c9d3768546db121cee5f491c162,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.25,0.0,0.25,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,bded9f904c50d86a27b70cb5dc2dd4570eae8764ae559d7a274d2b988e1dd6de,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,14,7,7,12,1,2,0.2857142857142857,1,1,0,0,1,1,1,0,1,0.0,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.14285714285714285,1,1,0.0,0.2,0.2,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,c40094376ca21a57fcc561bd6ce2232f69be78c295e0c934f7cf0aed8d4e58ba,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,8,4,4,6,1,1,0.25,0,1,0,0,0,1,0,0,0,0.0,0.75,0.0,0.75,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,36fdedbee6a1d35c195e695407f6bce8172dbd3196dded3a678055cb4d66983a,sharechat,perplexity,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,f1e4919c3036c3e0061cd57fda00f315814611557ec177242ab37230b1384016,sharechat,perplexity,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,5eac2438d8e90d5870f1838974d2879fe12cb2cf4b6073c4b76ac06f6b03324c,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,3f11ed7149b46faa093160e98976a1759a025daf8faa165bc288e6e329c27c92,sharechat,chatgpt,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,965a1a462c9bf1252c003aa7690d5f2977e68ab6053b3fd7e8a43f351732fea1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,16,8,8,14,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.375,0.125,1,1,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,0084e6d245b4d495949fd99aa79b30c411cead4a5b8fceb1e8022322eb1e57ba,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,10,5,5,8,1,2,0.4,1,0,0,0,1,0,0,0,1,0.0,0.4,0.0,0.4,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,11ff1dcba147cbafabb6870955a271d855b7e23fd28a46819e52bef52c2f54fa,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,10,5,5,8,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,63577a6ed72270dc3c492940307027cc484d802f8c5a9b47a818e6be989362ff,sharechat,perplexity,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,0,1,0,0,0.0,0.5,0.0,0.5,0.0,0,0,0.0,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,1698ac13b559833f16bab7915e30cb2017daa39146a573a08cf6cae6c7081c8e,sharechat,perplexity,INTENTIONAL,1,writing-oriented,1,1,4,2,2,2,1,1,0.5,0,1,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,aeb55ebe8128f421b3f7047f6b4bd26fdbb80cce4055841be2421d7f35b38cb1,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,12,6,6,10,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,,,,0,0,,0
ShareChat,writing,ShareChat writing,main_six_setting,f661264a04305a674cf955f43d60b0cf146a40388e4020d9ca03d7533518eb65,sharechat,chatgpt,UNINTENTIONAL,0,writing-oriented,1,1,6,3,3,4,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1,1,,,,0,0,,0
