scope,term,label,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,formula,se_type,notes
"six task settings, model/source FE, rows with three prior assistant responses",Intercept,Intercept,-3.915931,0.303675,-12.895118,4.7953e-38,0.019922,0.010986,0.036127,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_current_scaffolded,Current assistant response scaffolded,0.077759,0.035901,2.165937,0.030316,1.080862,1.007421,1.159657,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag1_scaffolded,Previous assistant response scaffolded,0.143000,0.036616,3.905408,9.40667e-05,1.153730,1.073831,1.239574,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag2_scaffolded,Two assistant responses earlier scaffolded,0.154653,0.036289,4.261687,2.0289e-05,1.167253,1.087114,1.253299,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",assistant_lag3_scaffolded,Three assistant responses earlier scaffolded,0.157020,0.035189,4.462241,8.11068e-06,1.170019,1.092043,1.253563,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_current_constructive,Immediate prior user turn constructive,1.630535,0.045277,36.012115,5.40607e-284,5.106607,4.672955,5.580503,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag1_constructive,One user turn earlier constructive,1.090263,0.048320,22.563514,9.89423e-113,2.975056,2.706229,3.270587,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag2_constructive,Two user turns earlier constructive,0.921340,0.051821,17.779178,1.02471e-70,2.512655,2.269978,2.781276,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_lag3_constructive,Three user turns earlier constructive,0.926751,0.048771,19.002209,1.63516e-80,2.526288,2.295982,2.779696,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",user_current_active,Immediate prior user turn active,0.590774,0.037232,15.867172,1.06953e-56,1.805385,1.678328,1.942061,114358,29373,-19541.953162,next_user_is_C ~ current/lagged assistant scaffolding + current/lagged user constructive and active states + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Joint event-history model. Rows are restricted to assistant-to-user events with three preceding user-assistant pairs so current and lagged terms share the same risk set.
