scope,term,label,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,formula,se_type,notes
"six task settings, model/source FE, rows with three prior assistant responses",Intercept,Intercept,-3.872228,0.302563,-12.798070,1.68076e-37,0.020812,0.011502,0.037658,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",current_S2,Current response scaffolded,0.097899,0.035326,2.771295,0.00558337,1.102851,1.029075,1.181918,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",lag1_S2,Previous response scaffolded,0.268499,0.035969,7.464787,8.34345e-14,1.307999,1.218962,1.403540,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",lag2_S2,Two responses earlier scaffolded,0.252074,0.035365,7.127777,1.02003e-12,1.286691,1.200525,1.379043,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",lag3_S2,Three responses earlier scaffolded,0.223489,0.033985,6.576103,4.82938e-11,1.250432,1.169853,1.336561,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_constructive,Prior user constructive,2.370247,0.046731,50.721088,0,10.700034,9.763532,11.726365,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_active,Prior user active,0.975537,0.036021,27.082723,1.57335e-161,2.652591,2.471775,2.846634,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_passive,Prior user passive,0.766761,0.107469,7.134735,9.6974e-13,2.152781,1.743897,2.657536,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_emotional,prior_user_emotional,0.694899,0.116917,5.943542,2.78929e-09,2.003506,1.593196,2.519487,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",prior_user_error,prior_user_error,0.454130,0.055814,8.136530,4.06767e-16,1.574803,1.411616,1.756855,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",intentional_framing,Intentional framing,0.310652,0.034353,9.042827,1.52671e-19,1.364315,1.275476,1.459341,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",coding_task,Coding task ecology,0.128144,0.097501,1.314291,0.188748,1.136717,0.938984,1.376090,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",log_assistant_turn_index,log_assistant_turn_index,-0.160318,0.035949,-4.459625,8.21031e-06,0.851872,0.793915,0.914060,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::alpaca-13b,model_LMSYS::alpaca-13b,-0.092775,0.318495,-0.291291,0.770829,0.911399,0.488203,1.701441,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
"six task settings, model/source FE, rows with three prior assistant responses",model_LMSYS::chatglm-6b,model_LMSYS::chatglm-6b,-0.778841,0.489925,-1.589717,0.111899,0.458937,0.175680,1.198908,114358,29373,-20596.851270,next_user_is_C ~ current_S2 + lag1_S2 + lag2_S2 + lag3_S2 + prior user state + user framing + task ecology + assistant-turn index + model/source fixed effects,conversation-cluster robust sandwich,Lagged event-sequence model. Rows are restricted to assistant-to-user events with three preceding assistant responses so current and lagged terms share the same risk set.
