window_size_turn_pairs,term,label,coef_log_odds_per_unit_share,cluster_robust_se_per_unit_share,odds_ratio_per_25pp,ci_low_per_25pp,ci_high_per_25pp,p_value,n_pairs,n_conversations,log_likelihood,mcfadden_r2_vs_controls,lr_user_history_vs_controls,lr_user_history_df,lr_user_history_p,lr_scaffold_history_beyond_user,lr_scaffold_history_df,lr_scaffold_history_p,lr_full_history_vs_controls,lr_full_history_df,lr_full_history_p,formula,se_type,notes
1,recent_user_constructive_share,Recent constructive-user share,2.131232,0.026843,1.703710,1.681447,1.726267,0,358572,127811,-62780.654863,0.067935,8645.242622,2,0,506.529711,1,3.60791e-112,9151.772332,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
1,recent_user_active_share,Recent active-user share,0.928374,0.020215,1.261238,1.248806,1.273793,0,358572,127811,-62780.654863,0.067935,8645.242622,2,0,506.529711,1,3.60791e-112,9151.772332,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
1,recent_assistant_scaffolded_share,Recent scaffolded-assistant share,0.381096,0.018033,1.099960,1.090284,1.109723,3.92341e-99,358572,127811,-62780.654863,0.067935,8645.242622,2,0,506.529711,1,3.60791e-112,9151.772332,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
2,recent_user_constructive_share,Recent constructive-user share,3.340060,0.039793,2.304849,2.260343,2.350231,0,230761,71825,-41312.280313,0.104414,9328.557935,2,0,304.389146,1,3.64374e-68,9632.947081,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
2,recent_user_active_share,Recent active-user share,1.254157,0.030372,1.368259,1.348047,1.388774,0,230761,71825,-41312.280313,0.104414,9328.557935,2,0,304.389146,1,3.64374e-68,9632.947081,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
2,recent_assistant_scaffolded_share,Recent scaffolded-assistant share,0.436635,0.026163,1.115340,1.101133,1.129730,1.56633e-62,230761,71825,-41312.280313,0.104414,9328.557935,2,0,304.389146,1,3.64374e-68,9632.947081,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
3,recent_user_constructive_share,Recent constructive-user share,4.059215,0.052283,2.758822,2.689042,2.830411,0,158936,44578,-28137.450884,0.127296,7981.329665,2,0,227.118835,1,2.53334e-51,8208.448501,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
3,recent_user_active_share,Recent active-user share,1.421177,0.040688,1.426600,1.398440,1.455328,2.73424e-267,158936,44578,-28137.450884,0.127296,7981.329665,2,0,227.118835,1,2.53334e-51,8208.448501,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
3,recent_assistant_scaffolded_share,Recent scaffolded-assistant share,0.499047,0.034574,1.132878,1.113848,1.152234,3.15049e-47,158936,44578,-28137.450884,0.127296,7981.329665,2,0,227.118835,1,2.53334e-51,8208.448501,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
4,recent_user_constructive_share,Recent constructive-user share,4.598469,0.066465,3.156984,3.055824,3.261493,0,114358,29373,-19628.832584,0.145991,6545.816176,2,0,165.214509,1,8.21204e-38,6711.030684,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
4,recent_user_active_share,Recent active-user share,1.574418,0.051752,1.482314,1.445197,1.520384,2.78921e-203,114358,29373,-19628.832584,0.145991,6545.816176,2,0,165.214509,1,8.21204e-38,6711.030684,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
4,recent_assistant_scaffolded_share,Recent scaffolded-assistant share,0.539698,0.044448,1.144450,1.119794,1.169649,6.30351e-34,114358,29373,-19628.832584,0.145991,6545.816176,2,0,165.214509,1,8.21204e-38,6711.030684,3,0,next_user_is_C ~ recent user constructive/active shares + recent assistant scaffolded share + controls + model/source fixed effects,conversation-cluster robust sandwich,Odds ratios are scaled to a 25 percentage-point increase in the recent-history share. A window of k contains the current user-assistant pair plus the previous k-1 pairs.
