setting,window_size_assistant_responses,exposure,estimate_pp,ci_low_pp,ci_high_pp,p_value,p_next_constructive_exposed,p_next_constructive_reference,n_exposed_pairs,n_reference_pairs,n_conversations,method,notes
WC coding,1,any scaffolded support in current response,2.675556,2.200334,3.099103,2.50187e-32,0.112347,0.085591,46757,45285,31809,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
WC coding,2,any scaffolded support in current or previous 1 assistant responses,3.088165,2.636770,3.503180,3.19096e-43,0.111567,0.080685,55133,36909,31809,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
WC coding,3,any scaffolded support in current or previous 2 assistant responses,3.203944,2.743326,3.652430,9.31031e-42,0.111067,0.079028,57902,34140,31809,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
WC coding,4,any scaffolded support in current or previous 3 assistant responses,3.248979,2.788163,3.711061,5.18069e-40,0.110834,0.078345,59034,33008,31809,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
LMSYS coding,1,any scaffolded support in current response,2.005090,1.509099,2.457369,2.62479e-17,0.074893,0.054843,21110,50800,31606,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
LMSYS coding,2,any scaffolded support in current or previous 1 assistant responses,2.418736,1.977692,2.891647,9.25124e-26,0.075817,0.051630,27052,44858,31606,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
LMSYS coding,3,any scaffolded support in current or previous 2 assistant responses,2.577395,2.118408,3.045008,4.95139e-28,0.075973,0.050199,29379,42531,31606,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
LMSYS coding,4,any scaffolded support in current or previous 3 assistant responses,2.662825,2.204822,3.147423,3.3466e-29,0.076079,0.049451,30455,41455,31606,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
SC coding,1,any scaffolded support in current response,6.209683,4.419594,8.188909,5.98261e-11,0.185282,0.123185,4593,4408,2474,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
SC coding,2,any scaffolded support in current or previous 1 assistant responses,6.394249,4.405494,8.193604,4.16979e-11,0.178755,0.114813,5639,3362,2474,conversation-cluster bootstrap over assistant-to-user event pairs,Event-window analysis asks whether scaffolded support occurred in the current assistant response or the preceding k-1 assistant responses before the next user turn.
