setting,support_condition,estimate,estimate_label,ci_low,ci_high,method,n_pairs,n_conversations,n_conversations_with_pairs
WC coding,non-scaffolded reference,8.5591,P(next constructive turn),8.2510,8.8844,conversation-cluster bootstrap over A2U pairs,45285,31809,21307
WC coding,scaffolded support,11.2347,P(next constructive turn),10.8693,11.6032,conversation-cluster bootstrap over A2U pairs,46757,31809,20453
LMSYS coding,non-scaffolded reference,5.4843,P(next constructive turn),5.2483,5.6978,conversation-cluster bootstrap over A2U pairs,50800,31606,25623
LMSYS coding,scaffolded support,7.4893,P(next constructive turn),7.0542,7.9330,conversation-cluster bootstrap over A2U pairs,21110,31606,13377
SC coding,non-scaffolded reference,12.3185,P(next constructive turn),11.0596,13.5613,conversation-cluster bootstrap over A2U pairs,4408,2474,1614
SC coding,scaffolded support,18.5282,P(next constructive turn),16.9513,20.3089,conversation-cluster bootstrap over A2U pairs,4593,2474,1733
WC writing,non-scaffolded reference,1.0657,P(next constructive turn),0.9872,1.1464,conversation-cluster bootstrap over A2U pairs,94677,39455,34011
WC writing,scaffolded support,2.1939,P(next constructive turn),1.9410,2.4671,conversation-cluster bootstrap over A2U pairs,29537,39455,13184
LMSYS writing,non-scaffolded reference,1.2685,P(next constructive turn),1.1432,1.3981,conversation-cluster bootstrap over A2U pairs,44305,20936,18041
LMSYS writing,scaffolded support,1.5344,P(next constructive turn),1.2976,1.7977,conversation-cluster bootstrap over A2U pairs,11275,20936,6415
SC writing,non-scaffolded reference,4.9741,P(next constructive turn),4.0642,5.9665,conversation-cluster bootstrap over A2U pairs,4443,1537,1317
SC writing,scaffolded support,8.3213,P(next constructive turn),5.6647,11.1117,conversation-cluster bootstrap over A2U pairs,1382,1537,622
