setting,prior_user_state,support_condition,estimate,estimate_label,ci_low,ci_high,method,n_pairs,n_conversations,n_conversations_with_pairs
WC coding,prior constructive,non-scaffolded reference,26.0563,P(next constructive turn),24.3044,27.8384,conversation-cluster bootstrap over A2U pairs,2982,31809,2358
WC coding,prior constructive,scaffolded support,30.0682,P(next constructive turn),28.5588,31.5716,conversation-cluster bootstrap over A2U pairs,5574,31809,3766
WC coding,prior active,non-scaffolded reference,9.6341,P(next constructive turn),9.2137,10.0829,conversation-cluster bootstrap over A2U pairs,18528,31809,11542
WC coding,prior active,scaffolded support,11.7894,P(next constructive turn),11.3022,12.2705,conversation-cluster bootstrap over A2U pairs,18576,31809,10560
WC coding,prior passive,non-scaffolded reference,12.9630,P(next constructive turn),8.9215,17.0296,conversation-cluster bootstrap over A2U pairs,270,31809,254
WC coding,prior passive,scaffolded support,15.0327,P(next constructive turn),9.8682,20.5674,conversation-cluster bootstrap over A2U pairs,153,31809,146
LMSYS coding,prior constructive,non-scaffolded reference,21.9201,P(next constructive turn),20.3531,23.7508,conversation-cluster bootstrap over A2U pairs,2354,31606,2019
LMSYS coding,prior constructive,scaffolded support,24.1834,P(next constructive turn),21.5702,26.6671,conversation-cluster bootstrap over A2U pairs,1592,31606,1288
LMSYS coding,prior active,non-scaffolded reference,6.1476,P(next constructive turn),5.8361,6.4879,conversation-cluster bootstrap over A2U pairs,21846,31606,14010
LMSYS coding,prior active,scaffolded support,8.3811,P(next constructive turn),7.7315,9.0447,conversation-cluster bootstrap over A2U pairs,7684,31606,5542
LMSYS coding,prior passive,non-scaffolded reference,7.3482,P(next constructive turn),4.4726,10.1016,conversation-cluster bootstrap over A2U pairs,313,31606,289
LMSYS coding,prior passive,scaffolded support,13.8462,P(next constructive turn),5.8824,23.5315,conversation-cluster bootstrap over A2U pairs,65,31606,63
SC coding,prior constructive,non-scaffolded reference,32.2368,P(next constructive turn),27.2910,36.8859,conversation-cluster bootstrap over A2U pairs,456,2474,320
SC coding,prior constructive,scaffolded support,36.7457,P(next constructive turn),32.8697,40.3613,conversation-cluster bootstrap over A2U pairs,928,2474,539
SC coding,prior active,non-scaffolded reference,14.4483,P(next constructive turn),12.3814,16.4884,conversation-cluster bootstrap over A2U pairs,1142,2474,795
SC coding,prior active,scaffolded support,17.5129,P(next constructive turn),15.2349,19.8367,conversation-cluster bootstrap over A2U pairs,1359,2474,792
SC coding,prior passive,non-scaffolded reference,9.2308,P(next constructive turn),3.2258,16.4755,conversation-cluster bootstrap over A2U pairs,65,2474,55
SC coding,prior passive,scaffolded support,28.7671,P(next constructive turn),20.2886,37.0406,conversation-cluster bootstrap over A2U pairs,73,2474,49
WC writing,prior constructive,non-scaffolded reference,6.0528,P(next constructive turn),4.9419,7.2281,conversation-cluster bootstrap over A2U pairs,1933,39455,1803
WC writing,prior constructive,scaffolded support,12.3195,P(next constructive turn),9.1231,15.8912,conversation-cluster bootstrap over A2U pairs,1177,39455,1007
WC writing,prior active,non-scaffolded reference,1.9286,P(next constructive turn),1.6503,2.2346,conversation-cluster bootstrap over A2U pairs,8659,39455,5668
WC writing,prior active,scaffolded support,2.5838,P(next constructive turn),2.1751,3.0242,conversation-cluster bootstrap over A2U pairs,7044,39455,4423
WC writing,prior passive,non-scaffolded reference,2.1182,P(next constructive turn),1.2562,3.1763,conversation-cluster bootstrap over A2U pairs,897,39455,702
WC writing,prior passive,scaffolded support,3.5857,P(next constructive turn),1.3559,6.0411,conversation-cluster bootstrap over A2U pairs,251,39455,204
LMSYS writing,prior constructive,non-scaffolded reference,11.4618,P(next constructive turn),8.4285,14.4805,conversation-cluster bootstrap over A2U pairs,602,20936,513
LMSYS writing,prior constructive,scaffolded support,9.0909,P(next constructive turn),6.0235,12.2669,conversation-cluster bootstrap over A2U pairs,352,20936,326
LMSYS writing,prior active,non-scaffolded reference,2.1687,P(next constructive turn),1.7503,2.5999,conversation-cluster bootstrap over A2U pairs,4980,20936,3511
LMSYS writing,prior active,scaffolded support,2.0536,P(next constructive turn),1.4832,2.6437,conversation-cluster bootstrap over A2U pairs,2386,20936,1794
LMSYS writing,prior passive,non-scaffolded reference,2.2831,P(next constructive turn),0.9237,3.8761,conversation-cluster bootstrap over A2U pairs,438,20936,356
LMSYS writing,prior passive,scaffolded support,4.7619,P(next constructive turn),0.0000,10.2076,conversation-cluster bootstrap over A2U pairs,63,20936,57
SC writing,prior constructive,non-scaffolded reference,22.9050,P(next constructive turn),16.7700,28.8407,conversation-cluster bootstrap over A2U pairs,179,1537,118
SC writing,prior constructive,scaffolded support,25.7353,P(next constructive turn),13.3929,36.6677,conversation-cluster bootstrap over A2U pairs,136,1537,82
SC writing,prior active,non-scaffolded reference,6.2368,P(next constructive turn),4.7874,7.9270,conversation-cluster bootstrap over A2U pairs,946,1537,522
SC writing,prior active,scaffolded support,7.4627,P(next constructive turn),4.9734,10.1257,conversation-cluster bootstrap over A2U pairs,402,1537,257
SC writing,prior passive,non-scaffolded reference,1.3793,P(next constructive turn),0.0000,3.4722,conversation-cluster bootstrap over A2U pairs,145,1537,102
SC writing,prior passive,scaffolded support,9.3333,P(next constructive turn),1.7234,18.0556,conversation-cluster bootstrap over A2U pairs,75,1537,49
