scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,se_type
"six task settings, dataset fixed effects, broad scaffolded support only",Intercept,-4.309400,0.060178,-71.611321,0,0.013442,0.011946,0.015124,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",scaffolded_support_S2,0.402183,0.018077,22.248461,1.1673e-109,1.495086,1.443041,1.549007,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",prior_user_constructive,2.186467,0.026518,82.452321,0,8.903703,8.452752,9.378713,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",prior_user_active,0.962591,0.020026,48.066914,0,2.618471,2.517684,2.723292,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",prior_user_passive,0.730089,0.083164,8.778954,1.65002e-18,2.075266,1.763127,2.442666,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",prior_user_emotional,0.577488,0.075784,7.620222,2.5324e-14,1.781557,1.535647,2.066846,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",prior_user_error,0.465066,0.030401,15.297774,7.91163e-53,1.592119,1.500022,1.689869,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",intentional_framing,0.337558,0.020482,16.480946,5.02918e-61,1.401522,1.346373,1.458929,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",coding_task,0.314355,0.058971,5.330651,9.78613e-08,1.369375,1.219903,1.537162,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",log_assistant_turn_index,0.063988,0.011589,5.521557,3.36008e-08,1.066079,1.042138,1.090571,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",dataset_LMSYS,-0.122562,0.021713,-5.644623,1.65543e-08,0.884651,0.847793,0.923112,358572,127811,-63138.693050,conversation-cluster robust sandwich
"six task settings, dataset fixed effects, broad scaffolded support only",dataset_ShareChat,0.733221,0.037999,19.295674,5.83987e-83,2.081776,1.932362,2.242744,358572,127811,-63138.693050,conversation-cluster robust sandwich
