scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,se_type
"six task settings, model/source fixed effects, broad S2 only",Intercept,-4.414197,0.171265,-25.774063,1.73258e-146,0.012104,0.008653,0.016933,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",scaffolded_support_S2,0.382685,0.018044,21.208406,7.9874e-100,1.466216,1.415267,1.518998,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",prior_user_constructive,2.145385,0.026808,80.027900,0,8.545329,8.107919,9.006337,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",prior_user_active,0.942518,0.020254,46.534810,0,2.566435,2.466549,2.670367,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",prior_user_passive,0.723259,0.083433,8.668792,4.36728e-18,2.061141,1.750203,2.427319,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",prior_user_emotional,0.564545,0.076228,7.405995,1.3017e-13,1.758648,1.514580,2.042047,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",prior_user_error,0.420696,0.030753,13.679743,1.34166e-42,1.523020,1.433931,1.617646,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",intentional_framing,0.353510,0.020498,17.246416,1.1906e-66,1.424058,1.367980,1.482435,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",coding_task,0.319284,0.059297,5.384485,7.26524e-08,1.376142,1.225148,1.545745,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",log_assistant_turn_index,0.060627,0.011494,5.274602,1.33045e-07,1.062502,1.038833,1.086710,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::alpaca-13b,-0.368480,0.185544,-1.985948,0.0470391,0.691785,0.480876,0.995197,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::chatglm-6b,-0.429370,0.203463,-2.110307,0.0348319,0.650919,0.436853,0.969881,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::claude-1,-0.042532,0.185514,-0.229268,0.81866,0.958359,0.666217,1.378608,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::claude-2,0.344063,0.435796,0.789504,0.429817,1.410667,0.600437,3.314225,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::claude-instant-1,0.480764,0.229578,2.094124,0.0362489,1.617310,1.031271,2.536377,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::dolly-v2-12b,-0.039599,0.241750,-0.163802,0.869887,0.961175,0.598439,1.543776,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::fastchat-t5-3b,-0.554761,0.274047,-2.024328,0.0429364,0.574209,0.335580,0.982525,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::gpt-3.5-turbo,-0.019430,0.261122,-0.074408,0.940686,0.980758,0.587882,1.636188,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::gpt-4,0.208912,0.203952,1.024324,0.305682,1.232337,0.826271,1.837962,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::gpt4all-13b-snoozy,-0.000505,0.262538,-0.001923,0.998466,0.999495,0.597453,1.672082,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::guanaco-33b,0.036904,0.231996,0.159071,0.873613,1.037593,0.658488,1.634956,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::koala-13b,-0.005763,0.175058,-0.032920,0.973739,0.994254,0.705481,1.401229,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::llama-13b,-0.719292,0.271948,-2.644964,0.00816996,0.487097,0.285844,0.830046,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::llama-2-13b-chat,-0.154564,0.184980,-0.835576,0.403393,0.856788,0.596233,1.231208,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::llama-2-7b-chat,0.063402,0.347043,0.182693,0.855039,1.065455,0.539667,2.103509,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::mpt-30b-chat,0.145498,0.270208,0.538467,0.590255,1.156616,0.681056,1.964243,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::mpt-7b-chat,-0.109928,0.249721,-0.440204,0.65979,0.895899,0.549152,1.461589,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::oasst-pythia-12b,0.191646,0.216416,0.885541,0.375865,1.211241,0.792526,1.851177,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::palm-2,0.554891,0.257681,2.153400,0.0312873,1.741751,1.051098,2.886216,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::stablelm-tuned-alpha-7b,-0.298494,0.269858,-1.106113,0.268678,0.741935,0.437177,1.259139,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::vicuna-13b,0.031031,0.162840,0.190562,0.848869,1.031518,0.749660,1.419348,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::vicuna-33b,0.173700,0.190010,0.914165,0.36063,1.189699,0.819780,1.726541,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::vicuna-7b,-0.358475,0.248209,-1.444250,0.148669,0.698741,0.429572,1.136569,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_LMSYS::wizardlm-13b,0.140963,0.222002,0.634964,0.525452,1.151382,0.745157,1.779064,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_ShareChat::chatgpt,0.870913,0.165702,5.255915,1.4729e-07,2.389092,1.726572,3.305832,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_ShareChat::claude,1.089632,0.244400,4.458394,8.25761e-06,2.973178,1.841550,4.800191,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_ShareChat::gemini,1.428644,0.226129,6.317839,2.65246e-10,4.173038,2.678969,6.500352,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_ShareChat::grok,0.370950,0.273366,1.356972,0.17479,1.449111,0.848023,2.476255,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_ShareChat::perplexity,-0.184174,0.276017,-0.667255,0.504609,0.831791,0.484243,1.428779,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-3.5-turbo,0.231344,0.163632,1.413806,0.157419,1.260292,0.914503,1.736831,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-3.5-turbo-0125,-0.184904,0.174922,-1.057061,0.290484,0.831184,0.589930,1.171101,358073,127580,-62614.349842,conversation-cluster robust sandwich
"six task settings, model/source fixed effects, broad S2 only",model_WildChat::gpt-3.5-turbo-0301,0.247646,0.170196,1.455059,0.145653,1.281006,0.917650,1.788237,358073,127580,-62614.349842,conversation-cluster robust sandwich
