scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,se_type
"WildChat only, model fixed effects",Intercept,-4.008492,0.083801,-47.833376,0,0.018161,0.015410,0.021403,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",scaffolded_support_S2,-0.019837,0.049601,-0.399930,0.689208,0.980358,0.889536,1.080454,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",prior_user_constructive,2.137687,0.034623,61.742329,0,8.479799,7.923446,9.075216,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",prior_user_active,0.991186,0.026620,37.233981,1.92491e-303,2.694428,2.557447,2.838745,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",prior_user_passive,0.860023,0.114586,7.505453,6.12165e-14,2.363215,1.887840,2.958292,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",prior_user_emotional,0.667477,0.098502,6.776266,1.23322e-11,1.949313,1.607070,2.364440,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",prior_user_error,0.415439,0.036306,11.442633,2.55996e-30,1.515036,1.410972,1.626775,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",intentional_framing,0.314780,0.026425,11.912157,1.02296e-32,1.369958,1.300810,1.442782,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",coding_task,0.151016,0.073250,2.061652,0.0392409,1.163015,1.007474,1.342569,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",log_assistant_turn_index,0.023700,0.014092,1.681756,0.0926162,1.023983,0.996087,1.052660,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M1,-0.298699,0.048448,-6.165405,7.03029e-10,0.741782,0.674586,0.815673,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M2,0.066007,0.042685,1.546371,0.122015,1.068234,0.982499,1.161451,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M3,-0.062413,0.037803,-1.651003,0.0987379,0.939494,0.872399,1.011750,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M4,0.745519,0.046257,16.116787,1.9446e-58,2.107536,1.924863,2.307544,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M5,-0.229048,0.040439,-5.663967,1.47912e-08,0.795290,0.734688,0.860892,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",M6,0.073772,0.077340,0.953863,0.340153,1.076561,0.925136,1.252772,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-3.5-turbo-0125,-0.363625,0.071738,-5.068816,4.00297e-07,0.695152,0.603970,0.800099,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-3.5-turbo-0301,-0.019595,0.060091,-0.326085,0.74436,0.980596,0.871645,1.103165,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-3.5-turbo-0613,-0.360247,0.044293,-8.133279,4.17831e-16,0.697504,0.639505,0.760764,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4,0.575516,0.062740,9.172967,4.60175e-20,1.778047,1.572308,2.010708,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4-0125-preview,-0.099874,0.060620,-1.647538,0.0994475,0.904951,0.803570,1.019122,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4-0314,0.559648,0.088477,6.325348,2.52663e-10,1.750057,1.471428,2.081447,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4-1106-preview,0.210488,0.052912,3.978102,6.94674e-05,1.234280,1.112690,1.369156,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4-turbo-2024-04-09,-0.335030,0.102978,-3.253404,0.00114031,0.715316,0.584576,0.875296,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4.1-mini-2025-04-14,-0.442807,0.067872,-6.524141,6.83924e-11,0.642231,0.562234,0.733610,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4o-2024-05-13,0.033218,0.052112,0.637443,0.523837,1.033776,0.933400,1.144946,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4o-2024-08-06,0.000079,0.044508,0.001783,0.998577,1.000079,0.916534,1.091241,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4o-2024-11-20,-0.041893,0.117690,-0.355957,0.721873,0.958973,0.761423,1.207776,216256,71263,-37779.819461,conversation-cluster robust sandwich
"WildChat only, model fixed effects",model_WildChat::gpt-4o-mini-2024-07-18,-0.337533,0.046463,-7.264572,3.74222e-13,0.713529,0.651420,0.781558,216256,71263,-37779.819461,conversation-cluster robust sandwich
