scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio_multiplier,ci_low,ci_high,n_pairs,n_conversations,se_type
"six public-chat settings, dataset FE",prior_constructive_x_M1,-0.345506,0.092723,-3.726229,0.000194366,0.707862,0.590230,0.848938,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_constructive_x_M2,-0.177661,0.099163,-1.791612,0.0731952,0.837226,0.689341,1.016838,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_constructive_x_M3,-0.046948,0.075172,-0.624541,0.532273,0.954137,0.823422,1.105602,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_constructive_x_M4,-0.499166,0.054612,-9.140153,6.23638e-20,0.607037,0.545416,0.675619,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_constructive_x_M5,0.088437,0.096639,0.915120,0.360128,1.092465,0.903954,1.320288,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_constructive_x_M6,-0.095988,0.161226,-0.595367,0.551598,0.908475,0.662331,1.246094,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M1,-0.173987,0.096026,-1.811875,0.0700055,0.840308,0.696144,1.014325,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M2,0.054455,0.087942,0.619213,0.535776,1.055965,0.888775,1.254606,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M3,-0.049466,0.057414,-0.861564,0.388927,0.951737,0.850443,1.065097,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M4,-0.557476,0.043914,-12.694853,6.31483e-37,0.572653,0.525426,0.624124,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M5,0.161530,0.076917,2.100056,0.035724,1.175307,1.010831,1.366547,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_active_x_M6,-0.435728,0.124662,-3.495265,0.000473591,0.646794,0.506584,0.825811,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_passive_x_M1,0.724861,0.274298,2.642606,0.00822707,2.064443,1.205913,3.534190,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_passive_x_M2,0.491737,0.307119,1.601129,0.109348,1.635154,0.895641,2.985271,358073,127580,conversation-cluster robust sandwich
"six public-chat settings, dataset FE",prior_passive_x_M3,0.187027,0.338699,0.552192,0.580816,1.205660,0.620752,2.341701,358073,127580,conversation-cluster robust sandwich
