section,outcome,adjustment,term,label,coef_log_odds,se,z,p_value,estimate_type,estimate,ci_low,ci_high,n_conversations,n_user_turns,n_constructive_turns,log_likelihood,model_source_reference,n_recoverable_model_source_levels,n_model_source_fixed_effects,formula,se_type,notes
2.2,any constructive turn,dataset FE,Intercept,Intercept,-3.265619,0.051916,-62.902424,0,odds ratio,0.038173,0.034480,0.042262,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,intentional_framing,Intentional framing,1.107760,0.017381,63.733137,0,odds ratio,3.027568,2.926165,3.132486,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,coding_task,Coding task ecology,0.635405,0.049407,12.860664,7.49305e-38,odds ratio,1.887787,1.713551,2.079739,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,length_4_6_user_turns,4--6 user turns,0.728470,0.019832,36.731730,2.27605e-295,odds ratio,2.071908,1.992916,2.154031,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,length_7plus_user_turns,7+ user turns,1.274279,0.023274,54.751611,0,odds ratio,3.576123,3.416657,3.743032,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,dataset_LMSYS,dataset_LMSYS,-0.351364,0.018613,-18.876866,1.76768e-79,odds ratio,0.703727,0.678516,0.729875,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,any constructive turn,dataset FE,dataset_ShareChat,dataset_ShareChat,0.826591,0.038314,21.574077,3.14698e-103,odds ratio,2.285514,2.120168,2.463755,128569,,,-45475.243659,,0,0,has_Cog_C ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,constructive-turn rate,dataset FE,Intercept,Intercept,-3.903933,0.062555,-62.407594,0,odds ratio,0.020162,0.017836,0.022792,128569,491685,24227,-92633.576704,,0,0,Cog_C_count out of user_turns ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,constructive-turn rate,dataset FE,intentional_framing,Intentional framing,1.022258,0.018722,54.600870,0,odds ratio,2.779463,2.679317,2.883353,128569,491685,24227,-92633.576704,,0,0,Cog_C_count out of user_turns ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
2.2,constructive-turn rate,dataset FE,coding_task,Coding task ecology,0.509746,0.061915,8.232951,1.82657e-16,odds ratio,1.664868,1.474608,1.879677,128569,491685,24227,-92633.576704,,0,0,Cog_C_count out of user_turns ~ user framing + task ecology + length bucket + dataset fixed effects,conversation-robust sandwich,Model/source sensitivity replaces dataset fixed effects with recoverable model or source-family indicators; model/source labels are observational metadata.
