setting,task,support_intent,support_intent_label,scaffolded_turns,intent_turns,intent_share_pct,M1_feedback_count,M1_feedback_pct_of_scaffolded,M1_feedback_pct_within_intent,M2_hinting_count,M2_hinting_pct_of_scaffolded,M2_hinting_pct_within_intent,M3_instructing_count,M3_instructing_pct_of_scaffolded,M3_instructing_pct_within_intent,M4_explaining_count,M4_explaining_pct_of_scaffolded,M4_explaining_pct_within_intent,M5_modelling_count,M5_modelling_pct_of_scaffolded,M5_modelling_pct_within_intent,M6_questioning_count,M6_questioning_pct_of_scaffolded,M6_questioning_pct_within_intent
WC coding,coding,I1,metacognitive,63593,4138,6.507005488025412,429,0.6746025505951913,10.367327211213146,1167,1.8351076376330728,28.20202996616723,690,1.0850250813768811,16.6747220879652,424,0.6667400500055037,10.246495891735139,119,0.18712751403456354,2.875785403576607,3342,5.255295394147154,80.76365393910102
WC coding,coding,I2,cognitive,63593,59830,94.08268205620115,5153,8.103093107731983,8.612736085575799,8461,13.304923497869263,14.141734915594183,18504,29.097542182315664,30.927628280127028,53371,83.92590379444279,89.20441250208926,15183,23.875269290645196,25.376901220123685,1464,2.302140172660513,2.446932976767508
WC coding,coding,I3,affective,63593,389,0.6117025458776909,197,0.30978252323368927,50.6426735218509,98,0.15410501155787587,25.19280205655527,162,0.25474501910587644,41.645244215938305,182,0.2861950214646266,46.7866323907455,42,0.06604500495337537,10.796915167095115,100,0.1572500117937509,25.70694087403599
LMSYS coding,coding,I1,metacognitive,30575,3292,10.766966475878986,123,0.40228945216680295,3.7363304981774,366,1.197056418642682,11.117861482381532,179,0.5854456255110384,5.437424058323208,71,0.23221586263287,2.1567436208991495,23,0.07522485690923958,0.6986634264884569,3003,9.821749795584628,91.22114216281895
LMSYS coding,coding,I2,cognitive,30575,27208,88.98773507767784,1140,3.7285363859362226,4.189944134078212,2155,7.048242027800491,7.92046456924434,3022,9.883892068683565,11.10702734489856,24180,79.08421913327882,88.87092031755365,5598,18.3090760425184,20.5748309320788,262,0.856909239574816,0.9629520729197295
LMSYS coding,coding,I3,affective,30575,361,1.1807031888798039,133,0.4349959116925593,36.8421052631579,69,0.22567457072771874,19.113573407202217,68,0.2224039247751431,18.83656509695291,58,0.18969746524938674,16.066481994459835,4,0.013082583810302535,1.10803324099723,158,0.5167620605069502,43.767313019390585
SC coding,coding,I1,metacognitive,5838,734,12.572798903734155,88,1.5073655361425145,11.989100817438691,195,3.3401849948612536,26.56675749318801,182,3.117505995203837,24.795640326975477,229,3.922576224734498,31.19891008174387,50,0.8564576909900651,6.8119891008174385,679,11.630695443645084,92.50681198910081
SC coding,coding,I2,cognitive,5838,5298,90.7502569373073,658,11.270983213429256,12.419781049452624,632,10.825625214114423,11.929029822574556,1438,24.631723192874272,27.14231785579464,4735,81.10654333675916,89.37334843337108,1075,18.4138403562864,20.290675726689315,646,11.065433367591641,12.193280483201208
SC coding,coding,I3,affective,5838,214,3.6656389174374784,145,2.4837273038711887,67.75700934579439,47,0.8050702295306612,21.962616822429908,57,0.9763617677286742,26.635514018691588,106,1.815690304898938,49.532710280373834,16,0.2740664611168208,7.4766355140186915,80,1.3703323055841041,37.38317757009346
WC writing,writing,I1,metacognitive,38781,2898,7.4727314922255745,411,1.0597973234315774,14.182194616977226,332,0.8560893220907145,11.456176673567978,221,0.5698666872953251,7.625948930296756,56,0.14440060854542172,1.932367149758454,22,0.056728810499987105,0.759144237405107,2238,5.770867177225961,77.22567287784679
WC writing,writing,I2,cognitive,38781,35929,92.6458832933653,5965,15.381243392382867,16.602187647861058,3362,8.669193677316212,9.357343649976341,23183,59.77927335550914,64.52447883325448,11438,29.493824295402387,31.835007932310948,5809,14.978984554292051,16.16799799604776,604,1.5574637064541914,1.68109326727713
WC writing,writing,I3,affective,38781,265,0.6833243082952992,115,0.29653696397720536,43.39622641509434,69,0.1779221783863232,26.037735849056602,84,0.2166009128181326,31.69811320754717,42,0.1083004564090663,15.849056603773585,25,0.06446455738634899,9.433962264150944,32,0.0825146334545267,12.075471698113208
LMSYS writing,writing,I1,metacognitive,14823,1948,13.141739189098024,130,0.8770154489644472,6.673511293634497,198,1.3357619914996963,10.164271047227926,10,0.06746272684341902,0.5133470225872689,33,0.22262699858328275,1.6940451745379876,8,0.05397018147473521,0.4106776180698152,1805,12.177022195237132,92.65913757700206
LMSYS writing,writing,I2,cognitive,14823,12834,86.58166363084396,1549,10.449976388045604,12.069502882967118,1452,9.79558793766444,11.31369798971482,8008,54.024151656209945,62.39675860994234,3970,26.782702556837346,30.933458002181705,1514,10.213856844093637,11.796789777154434,610,4.11522633744856,4.75299984416394
LMSYS writing,writing,I3,affective,14823,43,0.29008972542670175,11,0.07420899952776092,25.58139534883721,29,0.19564190784591512,67.44186046511628,10,0.06746272684341902,23.25581395348837,12,0.08095527221210282,27.906976744186046,9,0.06071645415907711,20.930232558139537,5,0.03373136342170951,11.627906976744185
SC writing,writing,I1,metacognitive,1651,471,28.528164748637188,29,1.756511205330103,6.1571125265392785,111,6.723198061780739,23.56687898089172,8,0.48455481526347666,1.6985138004246285,9,0.5451241671714112,1.910828025477707,9,0.5451241671714112,1.910828025477707,459,27.801332525741973,97.45222929936305
SC writing,writing,I2,cognitive,1651,1160,70.26044821320411,364,22.04724409448819,31.379310344827587,265,16.050878255602665,22.844827586206897,379,22.955784373107207,32.672413793103445,730,44.215626892792244,62.93103448275862,369,22.35009085402786,31.810344827586206,163,9.872804360993337,14.051724137931034
SC writing,writing,I3,affective,1651,23,1.3930950938824955,9,0.5451241671714112,39.130434782608695,11,0.6662628709872804,47.82608695652174,1,0.06056935190793458,4.3478260869565215,11,0.6662628709872804,47.82608695652174,10,0.6056935190793459,43.47826086956522,13,0.7874015748031497,56.52173913043478
