setting,task,intent,label,s2_turns,intent_s2_turns,intent_s2_turn_prevalence_pct,scaffolded_conversations,conv_with_intent,conv_without_intent,constructive_ratio_with_intent_pct,constructive_ratio_without_intent_pct,difference_pp
WC coding,coding,I1,metacognitive,63593,4138,6.507005488025412,23878,3488,20390,7.677423381811373,10.595669814369323,-2.9182464325579502
WC coding,coding,I2,cognitive,63593,59830,94.08268205620115,23878,22840,1038,10.32895557125639,4.2642642642642645,6.064691306992126
WC coding,coding,I3,affective,63593,389,0.6117025458776909,23878,320,23558,17.365269461077844,9.964785478886688,7.400483982191156
LMSYS coding,coding,I1,metacognitive,30398,3276,10.777024804263439,17027,2877,14150,3.9432451253481893,7.035028292835745,-3.0917831674875553
LMSYS coding,coding,I2,cognitive,30398,27047,88.9762484373972,17027,15492,1535,6.785089254462723,3.117505995203837,3.667583259258886
LMSYS coding,coding,I3,affective,30398,361,1.187578130140141,17027,333,16694,9.66212211025489,6.378749548247199,3.283372562007691
SC coding,coding,I1,metacognitive,5838,734,12.572798903734155,1941,402,1539,14.86305945223781,16.965742251223492,-2.1026827989856827
SC coding,coding,I2,cognitive,5838,5298,90.7502569373073,1941,1840,101,16.9054441260745,8.295625942684767,8.609818183389732
SC coding,coding,I3,affective,5838,214,3.6656389174374784,1941,125,1816,22.852512155591572,15.37104551334823,7.481466642243342
WC writing,writing,I1,metacognitive,38781,2898,7.4727314922255745,15635,2370,13265,2.170757455793085,2.861054498498685,-0.6902970427056001
WC writing,writing,I2,cognitive,38781,35929,92.6458832933653,15635,14528,1107,2.783685556602504,1.9443904335990667,0.8392951230034371
WC writing,writing,I3,affective,38781,265,0.6833243082952992,15635,220,15415,2.3415191319246147,2.7380860430987872,-0.39656691117417253
LMSYS writing,writing,I1,metacognitive,14823,1948,13.141739189098024,7518,1497,6021,1.9734345351043643,2.214345453821339,-0.24091091871697468
LMSYS writing,writing,I2,cognitive,14823,12834,86.58166363084396,7518,6609,909,2.2552483891082935,1.4705882352941178,0.7846601538141758
LMSYS writing,writing,I3,affective,14823,43,0.29008972542670175,7518,36,7482,4.946996466431095,2.1325349057468457,2.8144615606842494
SC writing,writing,I1,metacognitive,1651,471,28.528164748637188,702,275,427,7.24174653887114,6.110074626865671,1.1316719120054684
SC writing,writing,I2,cognitive,1651,1160,70.26044821320411,702,526,176,7.68985322271857,2.9279279279279278,4.761925294790642
SC writing,writing,I3,affective,1651,23,1.3930950938824955,702,18,684,17.415730337078653,6.139438085327783,11.27629225175087
