figure,panel,setting,measure,group,estimate,unit,ci_low,ci_high,n_conversations,notes,p_value,support_form
Figure 5,a,WC coding,P(next constructive turn),non-scaffolded reference,8.5591,percent,8.2510,8.8844,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,WC coding,P(next constructive turn),scaffolded support,11.2347,percent,10.8693,11.6032,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,WC coding,next-turn constructive lift annotation,scaffolded minus reference,2.6756,percentage-point difference,2.2211,3.0872,31809,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,1.20369e-33,
Figure 5,a,LMSYS coding,P(next constructive turn),non-scaffolded reference,5.4843,percent,5.2483,5.6978,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,LMSYS coding,P(next constructive turn),scaffolded support,7.4893,percent,7.0542,7.9330,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,LMSYS coding,next-turn constructive lift annotation,scaffolded minus reference,2.0051,percentage-point difference,1.5410,2.4977,31606,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,2.0944e-16,
Figure 5,a,SC coding,P(next constructive turn),non-scaffolded reference,12.3185,percent,11.0596,13.5613,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,SC coding,P(next constructive turn),scaffolded support,18.5282,percent,16.9513,20.3089,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,SC coding,next-turn constructive lift annotation,scaffolded minus reference,6.2097,percentage-point difference,4.3534,8.1034,2474,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,7.13412e-11,
Figure 5,a,WC writing,P(next constructive turn),non-scaffolded reference,1.0657,percent,0.9872,1.1464,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,WC writing,P(next constructive turn),scaffolded support,2.1939,percent,1.9410,2.4671,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,WC writing,next-turn constructive lift annotation,scaffolded minus reference,1.1281,percentage-point difference,0.8772,1.4115,39455,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,2.58993e-16,
Figure 5,a,LMSYS writing,P(next constructive turn),non-scaffolded reference,1.2685,percent,1.1432,1.3981,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,LMSYS writing,P(next constructive turn),scaffolded support,1.5344,percent,1.2976,1.7977,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,LMSYS writing,next-turn constructive lift annotation,scaffolded minus reference,0.2659,percentage-point difference,-0.0051,0.5556,20936,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,0.0605884,
Figure 5,a,SC writing,P(next constructive turn),non-scaffolded reference,4.9741,percent,4.0642,5.9665,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,SC writing,P(next constructive turn),scaffolded support,8.3213,percent,5.6647,11.1117,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,a,SC writing,next-turn constructive lift annotation,scaffolded minus reference,3.3472,percentage-point difference,0.8030,6.6183,1537,Lift annotation and contrast CI from the same conversation-cluster bootstrap over assistant-to-user pairs.,0.0248877,
Figure 5,b,WC coding,P(next constructive turn),prior constructive: non-scaffolded reference,26.0563,percent,24.3044,27.8384,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC coding,P(next constructive turn),prior constructive: scaffolded support,30.0682,percent,28.5588,31.5716,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior constructive: non-scaffolded reference,21.9201,percent,20.3531,23.7508,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior constructive: scaffolded support,24.1834,percent,21.5702,26.6671,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior constructive: non-scaffolded reference,32.2368,percent,27.2910,36.8859,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior constructive: scaffolded support,36.7457,percent,32.8697,40.3613,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior constructive: non-scaffolded reference,6.0528,percent,4.9419,7.2281,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC writing,P(next constructive turn),prior constructive: scaffolded support,12.3195,percent,9.1231,15.8912,39455,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior constructive: non-scaffolded reference,11.4618,percent,8.4285,14.4805,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS writing,P(next constructive turn),prior constructive: scaffolded support,9.0909,percent,6.0235,12.2669,20936,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior constructive: non-scaffolded reference,22.9050,percent,16.7700,28.8407,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC writing,P(next constructive turn),prior constructive: scaffolded support,25.7353,percent,13.3929,36.6677,1537,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC coding,P(next constructive turn),prior active: non-scaffolded reference,9.6341,percent,9.2137,10.0829,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,WC coding,P(next constructive turn),prior active: scaffolded support,11.7894,percent,11.3022,12.2705,31809,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior active: non-scaffolded reference,6.1476,percent,5.8361,6.4879,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,LMSYS coding,P(next constructive turn),prior active: scaffolded support,8.3811,percent,7.7315,9.0447,31606,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
Figure 5,b,SC coding,P(next constructive turn),prior active: non-scaffolded reference,14.4483,percent,12.3814,16.4884,2474,Conversation-cluster bootstrap CI over assistant-to-user pairs.,,
